sample_id,pipeline_name,pipeline_version,reference_genome,software_versions,parameters,generated_at
d200823a-1983-4498-bac6-869543c66ad4,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
7704ddb6-6373-40b1-94d5-08911923022a,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
a1d742c7-4628-41fd-843c-e9cd03cca7ae,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
e99f6210-0602-43e3-902f-90b0188626d5,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
512af4ab-2081-41c1-9096-7b5f85688ba0,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
f104b367-2762-49a7-99a3-ea0386dbe59c,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
a801720d-a518-46e0-8457-28cce6538956,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
38fe9eaf-0a9e-4198-a95c-904e286def06,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
601ac1bb-b1f6-40aa-a665-e35af253866f,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
9d4d440e-0808-4b30-ae92-5d821c79aa2a,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
3ce06036-a2d0-4c10-af09-b01b73cca78c,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
65e90513-67a1-4b6a-ab1e-8844f6f6b4c0,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
9ac5e137-48d2-4860-9cc6-221a5afd8793,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
c92a1909-60d5-4417-a988-d446eb1c4eb3,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
983e8b8d-05b9-47b1-a72f-f2495bd7daec,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
9b688038-9b44-4727-96d1-ecbd083574a1,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
a68aa9c1-1ff8-4318-b147-995d2e480652,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
d25cd914-1cdc-4870-b222-72e63950d53e,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
e554b8be-12d5-4585-8280-76428d0864bf,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
6649b44a-d099-4c57-bf39-71de07dd0283,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
65c6c13b-801d-496c-9775-2337c7754b09,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
4063f40a-28f0-4a7f-af48-980c56842729,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
0a79b8a8-195f-422f-955b-492f7390be0c,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
b7f340e0-f48d-49e8-9bd6-e7bc36565268,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
675bdec9-1d36-4532-b3e3-b6144d2f9374,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
6b741246-6ce8-4c31-8a97-70d54503d98e,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
b7e88586-5a6c-429f-b725-ebd87f528f38,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
b555c720-039a-4e21-b751-401d62efeafd,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
3cbfc6df-2845-4530-8738-c0505aaab328,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
53bc259e-b034-438a-a34b-e8b3976d5694,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
dc0af5f7-9133-4406-a03a-6fe34dfde425,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
a7bf604b-7506-40ba-86ec-6f250c981711,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
58d5837d-1713-4c17-b542-4c4be8b2e2f8,tb-wgs-pipeline,1.4.0,H37Rv,"{""bwa"": ""0.7.17"", ""samtools"": ""1.19"", ""freebayes"": ""1.3.7""}","{""min_depth"": 10, ""min_qual"": 30, ""mask_pe_ppe"": true}",2026-05-08T13:20:26.704971
